user,friend
0,6
0,17
0,38
0,40
0,96
0,124
0,157
0,163
0,172
0,197
0,198
0,225
0,232
0,234
0,249
0,256
2,59
2,75
2,80
2,107
2,131
2,166
2,173
2,196
3,151
4,24
4,72
4,107
4,121
4,131
4,207
5,6
5,43
5,85
5,163
5,165
6,0
6,5
6,16
6,36
6,38
6,43
6,45
6,48
6,49
6,50
6,83
6,85
6,96
6,115
6,118
6,121
6,126
6,132
6,142
6,157
6,162
6,165
6,172
6,193
6,212
6,225
6,232
6,234
6,288
6,295
7,12
7,37
7,124
7,152
7,197
7,199
7,219
7,258
7,295
8,109
8,120
8,133
8,140
8,152
8,180
8,187
8,282
8,297
9,29
9,35
9,41
9,94
9,147
9,216
10,140
10,164
11,120
11,194
12,7
12,152
12,204
12,217
12,251
14,71
14,114
14,187
14,194
15,293
16,6
16,37
16,104
16,120
16,126
16,157
16,172
16,186
16,203
16,225
16,288
17,0
17,36
17,65
17,91
17,138
17,165
17,170
17,224
17,225
17,234
18,152
19,38
19,50
19,55
19,62
19,75
19,88
19,121
19,142
19,185
19,283
20,69
20,229
24,4
24,36
24,40
24,48
24,62
24,64
24,83
24,88
24,95
24,104
24,111
24,118
24,121
24,131
24,142
24,157
24,195
24,197
24,212
24,239
24,253
24,258
24,268
24,272
24,295
24,296
26,190
27,219
29,9
29,41
29,216
30,244
30,260
31,278
32,66
35,9
35,58
35,94
36,6
36,17
36,24
36,45
36,56
36,62
36,88
36,157
36,172
36,175
36,185
36,186
36,229
36,288
36,296
37,7
37,16
37,45
37,63
37,111
37,185
37,206
37,288
38,0
38,6
38,19
38,62
38,104
38,138
38,142
38,157
38,186
38,195
38,229
38,272
38,296
39,65
39,172
40,0
40,24
40,88
40,96
40,118
40,121
40,137
40,142
40,157
40,158
40,162
40,178
40,198
40,207
40,272
41,9
41,29
41,94
41,190
41,195
41,216
42,70
42,179
43,5
43,6
43,56
43,69
43,115
43,138
43,142
43,212
43,225
43,258
43,288
45,6
45,36
45,37
45,62
45,82
45,85
45,118
45,129
45,148
45,172
45,210
45,258
46,96
46,104
46,138
46,195
47,89
47,272
48,6
48,24
48,49
48,56
48,65
48,108
48,163
48,193
48,219
48,224
48,225
48,283
49,6
49,48
49,50
49,104
49,120
49,121
49,132
49,157
49,162
49,193
49,212
49,224
49,288
50,6
50,19
50,49
50,175
50,193
53,187
55,19
55,62
55,72
55,75
55,84
55,88
55,96
55,120
55,121
55,140
55,196
55,225
55,250
55,272
55,288
56,36
56,43
56,48
56,62
56,91
56,108
56,118
56,142
56,157
56,158
56,175
56,204
56,212
56,224
56,259
57,272
58,35
59,2
59,75
59,80
59,131
59,196
60,265
61,152
61,197
61,225
62,19
62,24
62,36
62,38
62,45
62,55
62,56
62,64
62,88
62,95
62,118
62,131
62,142
62,168
62,185
62,229
62,258
62,272
63,37
63,224
63,225
63,283
64,24
64,62
64,249
65,17
65,39
65,48
65,132
65,138
65,172
65,185
65,212
65,224
65,225
65,288
66,32
66,79
67,127
69,20
69,43
69,94
69,115
69,171
69,172
69,175
69,258
69,266
70,42
71,14
71,120
71,190
72,4
72,55
72,194
72,250
73,115
73,141
75,2
75,19
75,55
75,59
75,79
75,80
75,131
75,140
75,157
75,173
75,174
75,196
75,260
75,263
75,272
76,273
77,117
79,66
79,75
79,190
79,196
79,222
80,2
80,59
80,75
80,107
80,131
80,196
81,152
82,45
83,6
83,24
83,142
83,172
83,178
83,193
83,229
83,232
83,288
83,290
83,295
83,296
84,55
84,126
84,210
85,5
85,6
85,45
85,258
86,87
87,86
87,190
88,19
88,24
88,36
88,40
88,55
88,62
88,120
88,142
88,157
88,250
88,296
89,47
89,118
89,150
89,177
89,224
90,106
91,17
91,56
91,111
91,165
91,178
91,186
91,224
91,283
91,288
93,122
93,172
94,9
94,35
94,41
94,69
95,24
95,62
96,0
96,6
96,40
96,46
96,55
96,104
96,120
96,121
96,122
96,137
96,157
96,158
96,163
96,165
96,169
96,172
96,192
96,197
96,198
96,211
96,232
96,250
96,290
97,152
100,113
101,129
101,273
103,120
104,16
104,24
104,38
104,46
104,49
104,96
104,121
104,157
104,158
104,163
104,172
104,193
104,197
104,266
104,296
105,134
106,90
107,2
107,4
107,80
107,131
108,48
108,56
108,110
108,163
108,192
108,225
108,250
108,290
109,8
110,108
110,258
111,24
111,37
111,91
111,163
111,185
113,100
113,293
114,14
114,120
114,140
114,282
115,6
115,43
115,69
115,73
115,138
115,175
115,222
115,225
115,288
116,227
117,77
118,6
118,24
118,40
118,45
118,56
118,62
118,89
118,121
118,142
118,150
118,157
118,175
118,185
118,249
118,272
118,283
118,293
120,8
120,11
120,16
120,49
120,55
120,71
120,88
120,96
120,103
120,114
120,172
120,174
120,190
120,196
120,224
120,282
120,297
121,4
121,6
121,19
121,24
121,40
121,49
121,55
121,96
121,104
121,118
121,185
122,93
122,96
122,172
122,207
122,295
124,0
124,7
124,162
124,256
124,290
126,6
126,16
126,84
127,67
129,45
129,101
131,2
131,4
131,24
131,59
131,62
131,75
131,80
131,107
131,142
131,173
131,182
131,196
131,272
132,6
132,49
132,65
132,148
132,170
132,190
132,210
132,225
132,234
133,8
133,140
134,105
135,209
136,187
137,40
137,96
138,17
138,38
138,43
138,46
138,65
138,115
138,165
138,186
138,193
138,196
138,219
138,225
138,288
139,171
140,8
140,10
140,55
140,75
140,114
140,133
140,210
140,227
140,282
140,297
141,73
142,6
142,19
142,24
142,38
142,40
142,43
142,56
142,62
142,83
142,88
142,118
142,131
142,157
142,162
142,185
142,196
142,198
142,232
142,249
142,268
147,9
148,45
148,132
148,187
150,89
150,118
150,157
150,185
150,196
150,224
150,225
150,229
150,239
150,272
150,283
151,3
151,236
151,245
152,7
152,8
152,12
152,18
152,61
152,81
152,97
152,214
152,265
153,252
153,264
154,173
156,195
157,0
157,6
157,16
157,24
157,36
157,38
157,40
157,49
157,56
157,75
157,88
157,96
157,104
157,118
157,142
157,150
157,162
157,165
