user,item,time
0,300,1225494000
0,45,1243807200
0,62,1243807200
0,82,1243807200
0,143,1243807200
0,146,1243807200
0,180,1243807200
0,181,1243807200
0,184,1243807200
0,186,1243807200
0,187,1243807200
0,192,1243807200
0,193,1243807200
0,196,1243807200
0,198,1243807200
0,215,1243807200
0,217,1243807200
0,219,1243807200
0,226,1243807200
0,229,1243807200
0,301,1243807200
0,302,1243807200
0,304,1243807200
0,305,1243807200
0,306,1243807200
0,307,1243807200
0,308,1243807200
0,309,1243807200
0,310,1243807200
0,311,1243807200
0,312,1243807200
0,314,1243807200
0,315,1243807200
0,317,1243807200
0,318,1243807200
0,319,1243807200
0,320,1243807200
0,321,1243807200
0,322,1243807200
0,323,1243807200
0,324,1243807200
0,325,1243807200
0,326,1243807200
0,327,1243807200
0,328,1243807200
0,329,1243807200
0,330,1243807200
0,303,1249077600
0,316,1249077600
1,50,1264978800
1,104,1264978800
1,143,1264978800
1,180,1264978800
1,226,1264978800
1,245,1264978800
1,263,1264978800
1,264,1264978800
1,311,1264978800
1,332,1264978800
1,333,1264978800
1,334,1264978800
1,335,1264978800
1,336,1264978800
1,338,1264978800
1,339,1264978800
1,340,1264978800
1,341,1264978800
1,342,1264978800
1,343,1264978800
1,344,1264978800
1,345,1264978800
1,346,1264978800
1,347,1264978800
1,350,1264978800
1,351,1264978800
1,352,1264978800
1,353,1264978800
1,354,1264978800
1,355,1264978800
1,356,1264978800
1,357,1264978800
1,358,1264978800
1,359,1264978800
1,360,1264978800
1,361,1264978800
1,363,1264978800
1,364,1264978800
1,365,1264978800
1,367,1264978800
1,246,1267398000
1,348,1267398000
1,331,1272664800
1,366,1275343200
1,362,1277935200
1,106,1280613600
1,349,1280613600
1,192,1291158000
1,223,1293836400
2,394,1217541600
2,395,1217541600
2,396,1217541600
2,397,1217541600
2,398,1217541600
2,399,1217541600
2,400,1217541600
2,401,1217541600
2,402,1217541600
2,403,1217541600
2,404,1217541600
2,405,1217541600
2,406,1217541600
2,407,1217541600
2,408,1217541600
2,409,1217541600
2,410,1217541600
2,411,1217541600
2,412,1217541600
2,413,1217541600
2,414,1217541600
2,415,1217541600
2,416,1217541600
2,417,1217541600
2,418,1217541600
2,419,1217541600
2,420,1217541600
2,421,1217541600
2,422,1217541600
2,423,1217541600
3,43,1201820400
3,49,1201820400
3,50,1201820400
3,61,1201820400
3,86,1201820400
3,93,1201820400
3,105,1201820400
3,134,1201820400
3,140,1201820400
3,143,1201820400
3,246,1201820400
3,252,1201820400
3,356,1201820400
3,377,1201820400
3,481,1201820400
3,482,1201820400
3,483,1201820400
3,484,1201820400
3,485,1201820400
3,486,1201820400
3,487,1201820400
3,488,1201820400
3,489,1201820400
3,490,1201820400
3,491,1201820400
3,492,1201820400
3,493,1201820400
3,494,1201820400
3,495,1201820400
3,496,1201820400
3,497,1201820400
3,498,1201820400
3,499,1201820400
3,500,1201820400
3,501,1201820400
3,502,1201820400
3,503,1201820400
3,504,1201820400
3,505,1201820400
3,506,1201820400
3,507,1201820400
3,508,1201820400
3,509,1201820400
3,510,1201820400
3,511,1201820400
3,512,1201820400
3,513,1201820400
3,514,1201820400
4,715,1209592800
4,31,1222812000
4,39,1222812000
4,40,1222812000
4,50,1222812000
4,59,1222812000
4,63,1222812000
4,70,1222812000
4,108,1222812000
4,239,1222812000
4,624,1222812000
4,683,1222812000
4,684,1222812000
4,685,1222812000
4,686,1222812000
4,687,1222812000
4,688,1222812000
4,689,1222812000
4,690,1222812000
4,691,1222812000
4,692,1222812000
4,693,1222812000
