user,friend
1,8
1,20
1,44
1,46
1,49
1,72
1,111
1,126
1,142
1,178
1,184
1,194
1,224
1,225
1,258
1,266
1,268
1,283
1,290
1,310
2,208
2,212
2,216
4,70
4,89
4,94
4,122
4,149
4,187
4,197
4,223
5,172
6,29
6,85
6,122
6,139
6,149
6,234
6,245
6,249
7,8
7,46
7,52
7,72
7,99
7,109
7,184
7,186
8,1
8,7
8,19
8,25
8,42
8,44
8,52
8,54
8,57
8,58
8,59
8,72
8,97
8,99
8,111
8,126
8,133
8,136
8,139
8,144
8,150
8,161
8,178
8,183
8,186
8,194
8,214
8,220
8,235
8,241
8,258
8,266
8,268
8,310
8,327
8,334
9,15
9,36
9,43
9,63
9,142
9,173
9,224
9,226
9,252
9,292
9,334
10,20
10,29
10,49
10,72
10,78
10,111
10,118
10,119
10,128
10,155
10,156
10,161
10,171
10,178
10,183
10,184
10,186
10,194
10,202
10,210
10,219
10,223
10,225
10,241
10,257
10,263
10,266
10,273
10,303
10,308
10,321
10,327
10,335
11,125
11,138
11,151
11,158
11,173
11,204
11,212
11,320
11,337
12,34
12,41
12,50
12,108
12,166
12,248
13,36
13,158
13,185
14,138
14,221
15,9
15,36
15,173
15,196
15,231
15,250
15,285
17,84
17,132
17,212
17,221
18,193
18,332
19,8
19,43
19,119
19,138
19,144
19,178
19,194
19,211
19,230
19,258
19,327
20,1
20,10
20,25
20,42
20,78
20,105
20,156
20,186
20,191
20,257
20,258
20,268
21,173
21,310
21,324
22,44
22,59
22,66
22,75
22,89
22,102
22,126
22,139
22,161
22,210
22,214
22,249
22,321
23,44
23,77
23,133
23,136
23,156
23,194
23,308
23,310
23,336
24,82
24,261
24,263
25,8
25,20
25,48
25,52
25,78
25,96
25,124
25,252
25,261
29,6
29,10
29,42
29,46
29,49
29,57
29,72
29,75
29,77
29,97
29,102
29,110
29,119
29,126
29,128
29,136
29,139
29,149
29,161
29,178
29,222
29,224
29,241
29,245
29,249
29,273
29,287
29,292
29,303
29,308
29,310
29,334
29,335
31,216
32,196
32,252
34,12
34,50
34,248
35,71
35,249
35,278
35,294
36,9
36,13
36,15
36,65
36,211
36,223
36,238
36,258
37,316
38,79
38,130
39,193
41,12
41,69
41,108
42,8
42,20
42,29
42,54
42,67
42,75
42,102
42,109
42,178
42,194
42,199
42,210
42,211
42,263
42,327
42,335
43,9
43,19
43,54
43,72
43,76
43,128
43,210
43,233
43,327
44,1
44,8
44,22
44,23
44,75
44,119
44,156
44,161
44,178
44,211
44,214
44,222
44,242
44,249
44,263
44,308
44,310
44,335
46,1
46,7
46,29
46,86
46,119
46,128
46,139
46,183
46,194
46,225
46,234
46,242
46,252
46,287
47,78
47,194
48,25
48,52
48,58
48,62
48,75
48,76
48,105
48,124
48,156
48,184
48,191
48,194
48,210
48,220
48,252
48,258
49,1
49,10
49,29
49,72
49,102
49,109
49,111
49,136
49,139
49,155
49,161
49,178
49,179
49,183
49,202
49,225
49,234
49,308
49,310
50,12
50,34
50,108
50,216
50,222
50,248
51,83
51,203
52,7
52,8
52,25
52,48
52,67
52,82
52,109
52,126
52,133
52,156
52,161
52,241
52,258
52,292
52,327
54,8
54,42
54,43
54,63
54,75
54,96
54,99
54,136
54,147
54,167
54,194
54,239
54,292
55,111
55,119
55,156
55,222
56,103
56,308
57,8
57,29
57,58
57,67
57,78
57,124
57,184
57,196
57,220
57,252
57,257
57,258
57,321
58,8
58,48
58,57
58,59
58,119
58,126
58,138
58,139
58,150
58,178
58,183
58,214
58,220
58,241
58,257
58,310
58,327
59,8
59,22
59,58
59,199
59,220
59,249
62,48
63,9
63,54
63,258
64,212
65,36
66,22
66,75
66,85
66,89
66,98
66,102
66,111
66,138
66,139
66,158
66,223
66,245
66,258
66,284
66,308
66,327
67,42
67,52
67,57
67,72
67,75
67,105
67,124
67,126
67,136
67,161
67,178
67,179
67,199
67,231
67,235
67,241
67,257
67,293
68,308
69,41
70,4
70,89
70,94
70,149
70,223
71,35
71,105
71,150
72,1
72,7
72,8
72,10
72,29
72,43
72,49
72,67
72,73
72,119
72,123
72,124
72,126
72,139
72,179
72,183
72,202
72,234
72,258
72,266
72,292
72,303
72,334
72,335
73,72
73,299
74,173
74,224
74,258
75,22
75,29
75,42
75,44
75,48
75,54
75,66
75,67
75,77
75,102
75,110
75,136
75,149
75,161
75,189
75,210
75,214
75,249
75,263
75,292
75,308
75,310
76,43
76,48
76,257
76,258
76,321
77,23
77,29
77,75
77,283
77,310
78,10
78,20
78,25
78,47
78,57
78,150
78,156
78,194
78,210
78,241
78,242
78,257
78,258
78,327
79,38
79,93
79,130
80,145
82,24
82,52
82,108
82,133
82,192
82,194
82,199
82,214
82,292
82,300
82,310
83,51
84,17
84,138
84,216
85,6
85,66
85,159
85,221
85,284
86,46
86,133
86,160
89,4
89,22
89,66
89,70
89,93
89,94
89,149
89,158
89,178
89,193
89,197
89,198
89,223
89,249
89,294
89,297
89,308
90,309
91,135
93,79
93,89
93,216
93,223
93,255
94,4
94,70
94,89
94,122
94,149
94,223
95,173
96,25
96,54
97,8
97,29
97,126
97,161
97,194
97,202
97,220
97,261
97,263
97,266
97,327
97,329
97,334
97,335
98,66
98,144
98,239
99,7
99,8
99,54
99,109
99,292
100,101
101,100
101,216
102,22
102,29
102,42
102,49
102,66
102,75
102,126
102,138
102,161
102,178
102,249
102,284
102,335
103,56
103,136
103,171
103,201
103,257
104,121
105,20
105,48
105,67
105,71
105,128
105,186
105,202
105,211
105,257
105,321
105,327
107,140
107,194
108,12
108,41
108,50
108,82
109,7
109,42
109,49
109,52
109,99
109,119
109,136
109,178
109,202
109,220
109,303
110,29
110,75
111,1
111,8
111,10
111,49
111,55
111,66
111,119
111,138
111,139
111,140
111,155
111,178
111,179
111,184
111,186
111,190
111,194
111,219
111,224
111,225
111,240
111,242
111,266
111,284
111,329
112,173
115,131
116,147
116,309
118,10
118,138
119,10
119,19
119,29
119,44
119,46
119,55
119,58
119,72
119,109
119,111
119,139
119,178
119,179
119,184
119,194
119,220
119,224
119,300
119,335
120,152
121,104
121,130
122,4
122,6
122,94
122,149
123,72
123,178
123,268
124,25
124,48
124,57
124,67
124,72
124,127
124,184
124,219
124,258
124,284
124,329
125,11
126,1
126,8
126,22
126,29
126,52
126,58
126,67
126,72
126,97
126,102
126,136
126,139
126,161
126,178
126,183
126,202
126,210
126,241
126,266
126,292
126,308
127,124
127,292
128,10
128,29
128,43
128,46
128,105
128,184
128,210
130,38
130,79
130,121
130,288
131,115
131,193
131,332
132,17
132,138
132,158
132,320
133,8
133,23
133,52
133,82
133,86
133,156
133,199
133,255
133,258
133,310
133,327
134,260
135,91
136,8
136,23
136,29
136,49
136,54
136,67
136,75
136,103
136,109
136,126
136,139
136,161
136,171
136,178
136,199
136,210
136,249
136,283
136,308
136,321
136,332
138,11
138,14
138,19
138,58
138,66
138,84
138,102
138,111
138,118
138,132
138,194
138,198
138,216
138,223
138,257
138,320
138,337
139,6
139,8
139,22
139,29
139,46
139,49
139,58
139,66
139,72
139,111
139,119
139,126
139,136
139,210
140,107
140,111
140,194
140,234
140,334
142,1
142,9
142,183
142,242
142,290
142,329
144,8
144,19
144,98
145,80
147,54
147,116
149,4
149,6
149,29
149,70
149,75
149,89
149,94
149,122
149,161
149,169
149,197
149,207
149,214
149,223
149,249
149,308
150,8
150,58
150,71
150,78
150,167
150,191
150,216
150,239
150,258
150,268
151,11
151,158
152,120
153,238
154,212
155,10
155,49
155,111
156,10
156,20
156,23
156,44
156,48
156,52
156,55
156,78
156,133
156,186
156,211
156,220
156,223
156,249
156,252
156,258
156,310
156,327
157,192
158,11
158,13
158,66
158,89
158,132
158,151
158,239
158,260
158,320
158,337
159,85
159,216
160,86
161,8
161,10
161,22
161,29
161,44
161,49
161,52
161,67
161,75
161,97
161,102
161,126
161,136
161,149
161,178
161,183
161,210
161,223
161,225
161,249
161,266
161,283
161,303
166,12
167,54
167,150
167,212
169,149
169,308
171,10
171,103
171,136
171,178
171,210
171,223
171,257
171,258
171,263
